gene,module,screen,scope,contrast,n_test,n_comp,med_test,med_comp,effect,mw_p,perm_p,ci_lo,ci_hi,null_mode
ITGAV,FAK / focal-adhesion,RNAi,PAN,B_vs_C,18,444,-0.20847563931750002,-0.05890373947725,0.14957189984025002,0.03358444255880494,0.08279834403311934,-0.04622743838087,0.53066876155415,either
MAT2A,CTRL MTAP-synth-leth,CRISPR,PAN,B_vs_C,30,814,-1.7614268388213423,-1.7452550412253816,0.01617179759596077,0.3960926945390955,0.41593168136637265,-0.1618138223092105,0.2056131139446411,either
TLN1,FAK / focal-adhesion,RNAi,PAN,A_vs_C,146,386,-0.37899523487950004,-0.23444110558499998,0.14455412929450007,1.1725324706174729e-06,0.0001399972000559989,0.07225690592,0.21709695705278748,either
PTK2,FAK / focal-adhesion,RNAi,PAN,A_vs_C,187,443,-0.109509550359,-0.0653323982233,0.04417715213569999,0.0005144203156584088,0.004899902001959961,0.010977082727900003,0.08595870876800724,either
TLN1,FAK / focal-adhesion,RNAi,PAN,B_vs_C,15,386,-0.35838071644,-0.23444110558499998,0.12393961085500005,0.011828919869624248,0.11295774084518309,0.03435679070210001,0.4259173993144722,either
FERMT2,FAK / focal-adhesion,RNAi,PAN,B_vs_C,16,391,-0.297466917171,-0.0991149657676,0.1983519514034,0.0054384946569876955,0.005419891602167957,0.03759054147482503,0.324343802403,either
FERMT2,FAK / focal-adhesion,RNAi,PAN,A_vs_C,147,391,-0.165880279485,-0.0991149657676,0.06676531371740001,0.0003153456355323635,0.0062798744025119495,-0.0018293191540000031,0.1477505805195,either
PXN,FAK / focal-adhesion,RNAi,PAN,A_vs_C,75,223,-0.151748520288,-0.118419581813,0.033328938475000014,0.1036642132879309,0.08809823803523929,-0.022861496269424998,0.08189220415799998,either
ITGB5,FAK / focal-adhesion,RNAi,PAN,B_vs_C,18,444,-0.1782795669505,-0.12478491124249999,0.05349465570800002,0.3383787644642047,0.1472570548589028,-0.061010309134460004,0.1026174176045,either
PXN,FAK / focal-adhesion,RNAi,PAN,B_vs_C,9,223,-0.315452823896,-0.118419581813,0.197033242083,0.018213366355174385,0.011719765604687906,-0.065347064096,0.264307044765,either
ITGB5,FAK / focal-adhesion,RNAi,PAN,A_vs_C,188,444,-0.146365891132,-0.12478491124249999,0.0215809798895,0.04240067159026087,0.05107897842043159,-0.006879743819837504,0.051338216651675,either
ITGAV,FAK / focal-adhesion,RNAi,PAN,A_vs_C,188,444,-0.16636876035999998,-0.05890373947725,0.10746502088274998,0.003023436574610567,0.0052398952020959585,0.029765047648803764,0.21349272716769999,either
BCAR1,FAK / focal-adhesion,RNAi,PAN,B_vs_C,18,445,-0.09185309262210001,-0.120738970627,-0.028885878004899987,0.31537861847496657,0.7388452230955381,-0.09671996207444238,0.2601554352022988,either
ILK,FAK / focal-adhesion,RNAi,PAN,A_vs_C,188,446,-0.303743448962,-0.28025604696399997,0.023487401998000035,0.005849164895903493,0.1512569748605028,-0.015795193934412477,0.07471466310209995,either
