mean_null,mean_intact,delta,p,n_null,n_intact,broad_id,drug,q
-0.14261553149418238,0.002735741757740522,-0.1453512732519229,0.17726606765212893,42,35,BRD-K00003468-001-01-9,delcasertib,0.9998823550455124
-0.6422858691648845,-0.49708717582023987,-0.14519869334464464,0.028105469740974526,42,36,BRD-K00003368-001-01-9,BFH772,0.9998823550455124
-0.2579302232461168,-0.1127900788917186,-0.1451401443543982,0.059367251073205896,42,35,BRD-K34843150-001-03-0,ACT-132577,0.9998823550455124
0.12426453147333366,0.2690685343099361,-0.14480400283660244,0.09605678087541575,42,35,BRD-K00003289-001-01-9,tecadenoson,0.9998823550455124
-0.6612761881425733,-0.5175650604911599,-0.14371112765141336,0.2850932698866119,42,35,BRD-K48905682-001-11-1,madrasin,0.9998823550455124
0.11955232713599068,0.2631196194991238,-0.14356729236313315,0.32815473053566324,42,35,BRD-K02260986-001-03-9,butylidenephthalide,0.9998823550455124
-0.1730724878995845,-0.029629724346177395,-0.1434427635534071,0.01564128291063996,42,35,BRD-K00003321-001-01-9,dalfopristin,0.9998823550455124
-0.1776502903941713,-0.03444846626537317,-0.14320182412879812,0.19087316064453652,42,35,BRD-K33586289-003-02-8,EPZ020411,0.9998823550455124
-0.3711036858904307,-0.2280378944783494,-0.14306579141208128,0.19649079214537002,42,35,BRD-K00003287-001-01-9,fezolinetant,0.9998823550455124
-0.5874241811778914,-0.444989671006712,-0.14243451017117942,0.17199915941315164,42,35,BRD-K00003125-001-01-9,sulfatinib,0.9998823550455124
-4.564453874406861,-4.422269935971776,-0.14218393843508537,0.397096218923205,42,35,BRD-K00004636-001-01-9,DpC,0.9998823550455124
-0.0909373186711814,0.050760624156072125,-0.14169794282725354,0.1078857798419165,42,36,BRD-K00005344-001-01-9,DCP-LA,0.9998823550455124
-0.17339691551267342,-0.032401113852525726,-0.1409958016601477,0.19572981746850143,42,36,BRD-K00004599-001-01-9,PRN1008,0.9998823550455124
-0.15149887093291592,-0.011003666002520479,-0.14049520493039544,0.29560405170566645,42,35,BRD-K03808106-001-02-9,NS-19504,0.9998823550455124
-0.1260927835398261,0.01250530244269395,-0.13859808598252005,0.10506627768716614,42,35,BRD-K71250460-001-02-9,SUN-11602,0.9998823550455124
-1.6524109258905706,-1.5141845089822987,-0.13822641690827187,0.3314169264002624,42,36,BRD-K00005340-001-01-9,SBI-115,0.9998823550455124
0.253840382144462,0.39147278038687033,-0.13763239824240836,0.14483928917772554,42,35,BRD-A75015151-001-08-9,NKY-80,0.9998823550455124
-0.46226105137282836,-0.3247111683165765,-0.13754988305625188,0.11868430253878076,42,35,BRD-K26726854-001-02-9,MI-14,0.9998823550455124
-0.03823668021916503,0.09869428657788647,-0.1369309667970515,0.16533062281587974,41,32,BRD-K00075140-005-02-9,Echothiophate Iodide,0.9998823550455124
-0.11837131516429696,0.01853562565934254,-0.1369069408236395,0.10981867603556672,42,34,BRD-K78321730-001-13-9,methylparaben,0.9998823550455124
0.027002014814423176,0.1626401983560586,-0.13563818354163543,0.17199915941315164,42,35,BRD-K83547600-001-02-9,JNJ-47965567,0.9998823550455124
-0.034020122163118685,0.1013010558439947,-0.13532117800711338,0.0978116625716261,42,35,BRD-K00003437-001-01-9,BTK-IN-1,0.9998823550455124
-0.13463284439239806,-0.0020014791937038065,-0.13263136519869426,0.29589815592350455,42,36,BRD-K00002423-001-02-9,PF-05175157,0.9998823550455124
0.04255379576330194,0.17488164993445843,-0.1323278541711565,0.10321712114410125,42,35,BRD-K00003256-001-01-9,avacopan,0.9998823550455124
-0.08344588978310988,0.04865477517921565,-0.13210066496232553,0.410787659425811,42,36,BRD-K74227494-001-03-9,riboflavin-tetrabutyrate,0.9998823550455124
-0.18129221238390775,-0.05027347665272759,-0.13101873573118017,0.06182321371591607,42,35,BRD-K09859624-004-11-9,methantheline,0.9998823550455124
0.12448795064304957,0.2544213454821016,-0.12993339483905203,0.04425312926260494,42,35,BRD-K76894955-001-02-1,A-804598,0.9998823550455124
-0.14311285675148566,-0.013889167647016788,-0.12922368910446888,0.10321712114410125,42,35,BRD-K00003569-003-01-9,omadacycline,0.9998823550455124
-0.05155784277306513,0.07754719075337878,-0.12910503352644392,0.18868560378479926,42,34,BRD-K78364995-236-18-3,cefotaxime,0.9998823550455124
